Volt,Frequency,S21,S31
7,527.09,-0.928,-27.128
7,532.36,-0.992,-26.124
7,537.63,-1.004,-25.308
7,542.9,-1.064,-24.632
7,548.18,-1.108,-24.296
7,553.45,-1.088,-23.692
7,558.72,-1.148,-23.232
7,564,-1.120,-22.592
7,569.27,-1.116,-22.328
7,574.54,-1.092,-21.984
7,579.81,-1.084,-21.448
7,585.09,-1.024,-21.100
7,590.36,-0.956,-20.580
7,595.63,-0.948,-20.316
7,600.9,-0.880,-20.088
7,606.18,-0.816,-19.800
7,611.45,-0.784,-19.512
7,616.72,-0.740,-19.288
7,0.622,-0.724,-19.076
7,627.27,-0.708,-18.968
7,632.54,-0.692,-18.788
7,637.81,-0.708,-18.584
7,643.09,-0.720,-18.416
7,648.36,-0.720,-18.204
7,653.63,-0.756,-18.012
7,658.9,-0.780,-17.800
7,664.18,-0.792,-17.536
7,669.45,-0.804,-17.336
7,674.72,-0.844,-17.156
7,680,-0.844,-16.816
7,685.27,-0.872,-16.644
7,690.54,-0.916,-16.452
7,695.81,-0.964,-16.260
7,701.09,-1.028,-16.228
7,706.36,-1.044,-16.364
7,711.63,-1.064,-16.900
7,716.9,-1.048,-17.716
7,722.18,-1.032,-18.644
7,727.45,-0.992,-19.596
7,732.72,-0.996,-20.508
7,738,-0.964,-21.036
7,743.27,-0.900,-21.508
7,748.54,-0.896,-21.780
7,753.81,-0.884,-21.572
7,759.09,-0.892,-21.248
7,764.36,-0.896,-20.872
7,769.63,-0.904,-20.620
7,774.9,-0.976,-20.088
7,780.18,-0.988,-19.724
7,785.45,-1.032,-19.460
7,790.72,-1.052,-19.192
7,796,-1.092,-19
7,801.27,-1.080,-18.716
7,806.54,-1.104,-18.528
7,811.81,-1.108,-18.384
7,817.09,-1.120,-18.124
7,822.36,-1.104,-17.944
7,827.63,-1.088,-17.852
7,832.9,-1.040,-17.648
7,838.18,-1.040,-17.496
7,843.45,-0.992,-17.176
7,848.72,-0.900,-17.088
7,854,-0.896,-16.984
7,859.27,-0.892,-16.860
7,864.54,-0.812,-16.612
7,869.81,-0.816,-16.520
7,875.09,-0.812,-16.288
7,880.36,-0.760,-16.208
7,885.63,-0.752,-16.100
7,890.9,-0.752,-16.020
7,896.18,-0.820,-15.968
7,901.45,-0.868,-15.876
7,906.72,-0.868,-15.708
7,912,-0.876,-15.644
7,917.27,-0.868,-15.496
7,922.54,-0.924,-15.448
7,927.81,-0.908,-15.328
7,933.09,-0.936,-15.268
7,938.36,-0.896,-15.128
7,943.63,-0.904,-15.092
7,948.9,-0.920,-15.028
7,954.18,-0.928,-14.976
7,959.45,-0.988,-14.844
7,964.72,-1.008,-14.816
7,970,-1.012,-14.696
7,975.27,-1.076,-14.644
7,980.54,-1.080,-14.584
7,985.81,-1.120,-14.584
7,991.09,-1.112,-14.748
7,996.36,-1.180,-15
8,500.72,-0.756,-34.552
8,506,-0.768,-34.080
8,511.27,-0.812,-33.156
8,516.54,-0.872,-31.412
8,521.81,-0.868,-30.236
8,527.09,-0.912,-28.552
8,532.36,-0.972,-27.752
8,537.63,-1.004,-26.596
8,542.9,-1.048,-25.884
8,548.18,-1.076,-25.228
8,553.45,-1.072,-24.612
8,558.72,-1.112,-24.096
8,564,-1.104,-23.756
8,569.27,-1.100,-23.480
8,574.54,-1.076,-23.048
8,579.81,-1.048,-22.488
8,585.09,-0.992,-22.068
8,590.36,-0.924,-21.592
8,595.63,-0.900,-21.280
8,600.9,-0.848,-20.940
8,606.18,-0.784,-20.576
8,611.45,-0.784,-20.332
8,616.72,-0.724,-20.184
8,0.622,-0.696,-19.904
8,627.27,-0.692,-19.816
8,632.54,-0.676,-19.620
8,637.81,-0.692,-19.324
8,643.09,-0.708,-19.228
8,648.36,-0.720,-19.044
8,653.63,-0.740,-18.844
8,658.9,-0.780,-18.748
8,664.18,-0.776,-18.444
8,669.45,-0.788,-18.192
8,674.72,-0.844,-17.936
8,680,-0.844,-17.708
8,685.27,-0.888,-17.532
8,690.54,-0.916,-17.224
8,695.81,-0.964,-17.016
8,701.09,-1.044,-16.888
8,706.36,-1.044,-16.916
8,711.63,-1.036,-17.340
8,716.9,-1.020,-18.084
8,722.18,-1.016,-19.128
8,727.45,-0.968,-20.072
8,732.72,-0.952,-20.928
8,738,-0.928,-22.060
8,743.27,-0.856,-22.940
8,748.54,-0.868,-23.380
8,753.81,-0.860,-23.420
8,759.09,-0.872,-23.016
8,764.36,-0.860,-22.600
8,769.63,-0.868,-22.012
8,774.9,-0.928,-21.568
8,780.18,-0.912,-21.064
8,785.45,-0.964,-20.732
8,790.72,-1,-20.312
8,796,-1.032,-20.112
8,801.27,-1.020,-19.852
8,806.54,-1.052,-19.572
8,811.81,-1.056,-19.344
8,817.09,-1.064,-19.232
8,822.36,-1.040,-18.900
8,827.63,-1.032,-18.788
8,832.9,-0.996,-18.640
8,838.18,-0.996,-18.496
8,843.45,-0.948,-18.272
8,848.72,-0.824,-17.996
8,854,-0.844,-17.860
8,859.27,-0.836,-17.744
8,864.54,-0.768,-17.596
8,869.81,-0.784,-17.408
8,875.09,-0.780,-17.328
8,880.36,-0.716,-17.148
8,885.63,-0.720,-17.052
8,890.9,-0.740,-17.012
8,896.18,-0.800,-16.868
8,901.45,-0.836,-16.808
8,906.72,-0.848,-16.684
8,912,-0.864,-16.608
8,917.27,-0.856,-16.484
8,922.54,-0.916,-16.392
8,927.81,-0.888,-16.244
8,933.09,-0.916,-16.208
8,938.36,-0.856,-16.072
8,943.63,-0.868,-16.016
8,948.9,-0.892,-15.912
8,954.18,-0.880,-15.824
8,959.45,-0.948,-15.764
8,964.72,-0.952,-15.592
8,970,-0.980,-15.432
8,975.27,-1.048,-15.356
8,980.54,-1.052,-15.372
8,985.81,-1.092,-15.420
8,991.09,-1.092,-15.496
8,996.36,-1.116,-15.832
9,500.72,-0.728,-36.896
9,506,-0.736,-37.188
9,511.27,-0.764,-35.796
9,516.54,-0.824,-33.908
9,521.81,-0.836,-31.884
9,527.09,-0.864,-30.344
9,532.36,-0.924,-28.976
9,537.63,-0.952,-27.736
9,542.9,-0.996,-26.788
9,548.18,-1.044,-26.264
9,553.45,-1.040,-25.464
9,558.72,-1.064,-25.016
9,564,-1.072,-24.468
9,569.27,-1.084,-23.972
9,574.54,-1.024,-23.624
9,579.81,-1.016,-23.232
9,585.09,-0.960,-22.752
9,590.36,-0.924,-22.432
9,595.63,-0.900,-21.988
9,600.9,-0.832,-21.576
9,606.18,-0.756,-21.260
9,611.45,-0.756,-21.016
9,616.72,-0.724,-20.712
9,0.622,-0.664,-20.632
9,627.27,-0.660,-20.452
9,632.54,-0.660,-20.288
9,637.81,-0.648,-20.060
9,643.09,-0.676,-19.832
9,648.36,-0.692,-19.720
9,653.63,-0.708,-19.496
9,658.9,-0.748,-19.296
9,664.18,-0.744,-19.028
9,669.45,-0.740,-18.896
9,674.72,-0.796,-18.620
9,680,-0.796,-18.356
9,685.27,-0.840,-18.052
9,690.54,-0.868,-17.764
9,695.81,-0.928,-17.544
9,701.09,-0.992,-17.360
9,706.36,-1.008,-17.432
9,711.63,-1.052,-17.928
9,716.9,-1.064,-18.712
9,722.18,-1.060,-19.676
9,727.45,-1.008,-20.760
9,732.72,-0.996,-21.688
9,738,-0.964,-22.940
9,743.27,-0.892,-24.120
9,748.54,-0.868,-24.680
9,753.81,-0.824,-24.652
9,759.09,-0.836,-24.216
9,764.36,-0.816,-23.848
9,769.63,-0.840,-23.240
9,774.9,-0.892,-22.556
9,780.18,-0.884,-22.116
9,785.45,-0.936,-21.856
9,790.72,-0.960,-21.356
9,796,-0.992,-21.120
9,801.27,-0.980,-20.760
9,806.54,-1.024,-20.512
9,811.81,-1,-20.272
9,817.09,-1.012,-20
9,822.36,-1.008,-19.872
9,827.63,-0.980,-19.632
9,832.9,-0.944,-19.512
9,838.18,-0.964,-19.288
9,843.45,-0.904,-19.084
9,848.72,-0.824,-18.804
9,854,-0.812,-18.604
9,859.27,-0.816,-18.520
9,864.54,-0.748,-18.328
9,869.81,-0.752,-18.184
9,875.09,-0.736,-18.080
9,880.36,-0.684,-17.972
9,885.63,-0.688,-17.840
9,890.9,-0.708,-17.728
9,896.18,-0.768,-17.648
9,901.45,-0.816,-17.580
9,906.72,-0.828,-17.444
9,912,-0.832,-17.340
9,917.27,-0.836,-17.160
9,922.54,-0.892,-17.108
9,927.81,-0.856,-16.920
9,933.09,-0.884,-16.888
9,938.36,-0.836,-16.776
9,943.63,-0.836,-16.772
9,948.9,-0.852,-16.620
9,954.18,-0.860,-16.552
9,959.45,-0.900,-16.460
9,964.72,-0.920,-16.228
9,970,-0.936,-16.148
9,975.27,-1.008,-16.052
9,980.54,-1.012,-15.980
9,985.81,-1.056,-16.060
9,991.09,-1.036,-16.180
9,996.36,-1.076,-16.580
10,500.72,-0.712,-38.304
10,506,-0.752,-39.468
10,511.27,-0.764,-38.780
10,516.54,-0.808,-35.760
10,521.81,-0.836,-33.248
10,527.09,-0.848,-31.296
10,532.36,-0.908,-29.772
10,537.63,-0.936,-28.716
10,542.9,-0.980,-27.732
10,548.18,-1.028,-26.924
10,553.45,-1.020,-26.272
10,558.72,-1.064,-25.648
10,564,-1.056,-25.156
10,569.27,-1.048,-24.664
10,574.54,-1.008,-24.268
10,579.81,-1,-23.772
10,585.09,-0.960,-23.348
10,590.36,-0.908,-22.908
10,595.63,-0.884,-22.608
10,600.9,-0.816,-22.108
10,606.18,-0.756,-21.844
10,611.45,-0.740,-21.536
10,616.72,-0.696,-21.328
10,0.622,-0.680,-21.132
10,627.27,-0.648,-21.068
10,632.54,-0.648,-20.856
10,637.81,-0.660,-20.652
10,643.09,-0.660,-20.516
10,648.36,-0.692,-20.168
10,653.63,-0.696,-20.064
10,658.9,-0.764,-19.976
10,664.18,-0.760,-19.576
10,669.45,-0.756,-19.276
10,674.72,-0.812,-19.152
10,680,-0.812,-18.828
10,685.27,-0.856,-18.492
10,690.54,-0.900,-18.204
10,695.81,-0.948,-17.964
10,701.09,-1.008,-17.776
10,706.36,-1.036,-17.844
10,711.63,-1.044,-18.212
10,716.9,-1.048,-19.044
10,722.18,-1.016,-20.160
10,727.45,-0.956,-21.124
10,732.72,-0.968,-22.228
10,738,-0.904,-23.468
10,743.27,-0.840,-24.880
10,748.54,-0.844,-25.568
10,753.81,-0.816,-25.484
10,759.09,-0.828,-25.328
10,764.36,-0.800,-25.052
10,769.63,-0.812,-24.348
10,774.9,-0.884,-23.748
10,780.18,-0.864,-23.112
10,785.45,-0.896,-22.608
10,790.72,-0.920,-22.208
10,796,-0.964,-21.868
10,801.27,-0.960,-21.532
10,806.54,-0.992,-21.152
10,811.81,-0.988,-20.912
10,817.09,-1.004,-20.724
10,822.36,-0.984,-20.692
10,827.63,-0.960,-20.320
10,832.9,-0.932,-20.084
10,838.18,-0.940,-19.916
10,843.45,-0.892,-19.788
10,848.72,-0.804,-19.536
10,854,-0.780,-19.372
10,859.27,-0.804,-19.068
10,864.54,-0.716,-19.072
10,869.81,-0.720,-18.828
10,875.09,-0.716,-18.732
10,880.36,-0.684,-18.436
10,885.63,-0.700,-18.444
10,890.9,-0.700,-18.332
10,896.18,-0.756,-18.184
10,901.45,-0.816,-18.152
10,906.72,-0.828,-18.008
10,912,-0.832,-17.884
10,917.27,-0.824,-17.752
10,922.54,-0.904,-17.732
10,927.81,-0.876,-17.540
10,933.09,-0.904,-17.540
10,938.36,-0.856,-17.388
10,943.63,-0.884,-17.292
10,948.9,-0.860,-17.196
10,954.18,-0.860,-17.172
10,959.45,-0.920,-17.056
10,964.72,-0.920,-16.772
10,970,-0.896,-16.660
10,975.27,-0.952,-16.560
10,980.54,-0.968,-16.520
10,985.81,-1.008,-16.568
10,991.09,-0.988,-16.824
10,996.36,-1.032,-17.048
12,500.72,-0.696,-37.720
12,506,-0.704,-43.316
12,511.27,-0.732,-44.620
12,516.54,-0.776,-39.080
12,521.81,-0.788,-35.412
12,527.09,-0.816,-33.596
12,532.36,-0.892,-31.160
12,537.63,-0.888,-29.676
12,542.9,-0.948,-28.980
12,548.18,-1.008,-27.820
12,553.45,-0.988,-27.044
12,558.72,-1.012,-26.516
12,564,-1.020,-26.092
12,569.27,-1,-25.600
12,574.54,-0.976,-25.044
12,579.81,-0.968,-24.668
12,585.09,-0.916,-24.076
12,590.36,-0.864,-23.652
12,595.63,-0.840,-23.356
12,600.9,-0.784,-22.984
12,606.18,-0.712,-22.688
12,611.45,-0.712,-22.308
12,616.72,-0.664,-22.256
12,0.622,-0.636,-21.936
12,627.27,-0.632,-21.752
12,632.54,-0.616,-21.572
12,637.81,-0.616,-21.352
12,643.09,-0.616,-21.176
12,648.36,-0.660,-20.900
12,653.63,-0.680,-20.828
12,658.9,-0.736,-20.540
12,664.18,-0.728,-20.288
12,669.45,-0.724,-19.988
12,674.72,-0.784,-19.704
12,680,-0.780,-19.420
12,685.27,-0.808,-19.112
12,690.54,-0.836,-18.848
12,695.81,-0.896,-18.604
12,701.09,-0.960,-18.416
12,706.36,-0.992,-18.300
12,711.63,-1.044,-18.728
12,716.9,-1.048,-19.552
12,722.18,-1.052,-20.592
12,727.45,-1.020,-21.688
12,732.72,-0.996,-22.936
12,738,-0.956,-24.356
12,743.27,-0.856,-25.792
12,748.54,-0.844,-27.112
12,753.81,-0.808,-27.348
12,759.09,-0.804,-27.208
12,764.36,-0.772,-26.420
12,769.63,-0.788,-25.664
12,774.9,-0.828,-24.928
12,780.18,-0.828,-24.212
12,785.45,-0.868,-23.828
12,790.72,-0.900,-23.304
12,796,-0.932,-22.964
12,801.27,-0.912,-22.528
12,806.54,-0.932,-22.240
12,811.81,-0.936,-21.968
12,817.09,-0.960,-21.852
12,822.36,-0.956,-21.480
12,827.63,-0.928,-21.360
12,832.9,-0.868,-20.984
12,838.18,-0.868,-20.836
12,843.45,-0.828,-20.708
12,848.72,-0.760,-20.336
12,854,-0.748,-20.228
12,859.27,-0.752,-20.012
12,864.54,-0.684,-19.740
12,869.81,-0.708,-19.672
12,875.09,-0.696,-19.576
12,880.36,-0.644,-19.368
12,885.63,-0.656,-19.320
12,890.9,-0.656,-19.300
12,896.18,-0.712,-19.136
12,901.45,-0.760,-18.972
12,906.72,-0.784,-18.988
12,912,-0.812,-18.812
12,917.27,-0.784,-18.612
12,922.54,-0.832,-18.464
12,927.81,-0.836,-18.396
12,933.09,-0.844,-18.360
12,938.36,-0.808,-18.164
12,943.63,-0.816,-18.108
12,948.9,-0.812,-17.952
12,954.18,-0.820,-17.900
12,959.45,-0.872,-17.780
12,964.72,-0.876,-17.600
12,970,-0.888,-17.428
12,975.27,-0.944,-17.220
12,980.54,-0.956,-17.204
12,985.81,-1.016,-17.304
12,991.09,-1,-17.436
12,996.36,-1.048,-17.936
14,500.72,-0.684,-38.576
14,506,-0.704,-46.360
14,511.27,-0.716,-50.748
14,516.54,-0.776,-41.864
14,521.81,-0.772,-36.668
14,527.09,-0.816,-34.228
14,532.36,-0.876,-32.436
14,537.63,-0.888,-30.728
14,542.9,-0.916,-29.652
14,548.18,-0.976,-28.680
14,553.45,-0.956,-28.032
14,558.72,-0.980,-27.128
14,564,-0.988,-26.888
14,569.27,-0.968,-26.192
14,574.54,-0.944,-26.016
14,579.81,-0.920,-25.248
14,585.09,-0.900,-24.752
14,590.36,-0.832,-24.100
14,595.63,-0.808,-23.800
14,600.9,-0.740,-23.552
14,606.18,-0.680,-23.136
14,611.45,-0.652,-22.856
14,616.72,-0.636,-22.724
14,0.622,-0.592,-22.488
14,627.27,-0.572,-22.268
14,632.54,-0.588,-22.040
14,637.81,-0.588,-21.948
14,643.09,-0.616,-21.704
14,648.36,-0.616,-21.420
14,653.63,-0.648,-21.340
14,658.9,-0.676,-21.160
14,664.18,-0.700,-20.764
14,669.45,-0.696,-20.464
14,674.72,-0.752,-20.196
14,680,-0.752,-19.968
14,685.27,-0.776,-19.608
14,690.54,-0.804,-19.204
14,695.81,-0.896,-18.972
14,701.09,-0.944,-18.716
14,706.36,-0.956,-18.684
14,711.63,-1.012,-19.152
14,716.9,-1.032,-19.904
14,722.18,-1.016,-20.976
14,727.45,-0.956,-22.232
14,732.72,-0.976,-23.456
14,738,-0.928,-24.940
14,743.27,-0.832,-26.828
14,748.54,-0.816,-28.004
14,753.81,-0.772,-28.572
14,759.09,-0.784,-28.472
14,764.36,-0.756,-27.664
14,769.63,-0.768,-26.824
14,774.9,-0.808,-26.032
14,780.18,-0.800,-25.440
14,785.45,-0.832,-24.724
14,790.72,-0.864,-24.060
14,796,-0.892,-23.648
14,801.27,-0.892,-23.164
14,806.54,-0.900,-23
14,811.81,-0.896,-22.580
14,817.09,-0.912,-22.444
14,822.36,-0.884,-22.152
14,827.63,-0.876,-22.040
14,832.9,-0.828,-21.668
14,838.18,-0.844,-21.508
14,843.45,-0.796,-21.212
14,848.72,-0.708,-21.032
14,854,-0.704,-20.832
14,859.27,-0.700,-20.576
14,864.54,-0.640,-20.420
14,869.81,-0.656,-20.388
14,875.09,-0.632,-20.216
14,880.36,-0.592,-19.992
14,885.63,-0.604,-19.896
14,890.9,-0.616,-19.804
14,896.18,-0.692,-19.696
14,901.45,-0.740,-19.700
14,906.72,-0.752,-19.452
14,912,-0.752,-19.344
14,917.27,-0.752,-19.112
14,922.54,-0.824,-19.164
14,927.81,-0.796,-18.960
14,933.09,-0.824,-18.836
14,938.36,-0.780,-18.716
14,943.63,-0.808,-18.724
14,948.9,-0.804,-18.568
14,954.18,-0.800,-18.512
14,959.45,-0.844,-18.272
14,964.72,-0.864,-18.076
14,970,-0.860,-17.968
14,975.27,-0.916,-17.828
14,980.54,-0.928,-17.708
14,985.81,-0.980,-17.788
14,991.09,-0.972,-18.032
14,996.36,-1.020,-18.408
15,500.72,-0.668,-36.472
15,506,-0.676,-42.964
15,511.27,-0.688,-58.816
15,516.54,-0.744,-43.004
15,521.81,-0.756,-37.904
15,527.09,-0.784,-34.612
15,532.36,-0.844,-33.072
15,537.63,-0.840,-31.140
15,542.9,-0.900,-30.044
15,548.18,-0.944,-29.112
15,553.45,-0.940,-28.264
15,558.72,-0.964,-27.456
15,564,-0.956,-26.964
15,569.27,-0.952,-26.488
15,574.54,-0.928,-25.968
15,579.81,-0.920,-25.448
15,585.09,-0.884,-24.964
15,590.36,-0.816,-24.280
15,595.63,-0.792,-24.096
15,600.9,-0.740,-23.760
15,606.18,-0.680,-23.344
15,611.45,-0.652,-23.176
15,616.72,-0.620,-22.764
15,0.622,-0.576,-22.480
15,627.27,-0.572,-22.496
15,632.54,-0.560,-22.340
15,637.81,-0.588,-21.960
15,643.09,-0.604,-22.024
15,648.36,-0.616,-21.732
15,653.63,-0.636,-21.448
15,658.9,-0.688,-21.372
15,664.18,-0.684,-21.012
15,669.45,-0.708,-20.768
15,674.72,-0.736,-20.528
15,680,-0.752,-20.232
15,685.27,-0.776,-19.880
15,690.54,-0.820,-19.488
15,695.81,-0.864,-19.252
15,701.09,-0.908,-18.952
15,706.36,-0.956,-18.904
15,711.63,-1.012,-19.248
15,716.9,-1.020,-20.052
15,722.18,-1.024,-21.128
15,727.45,-0.984,-22.160
15,732.72,-0.968,-23.348
15,738,-0.920,-25.096
15,743.27,-0.824,-26.868
15,748.54,-0.824,-28.128
15,753.81,-0.780,-28.896
15,759.09,-0.776,-29.060
15,764.36,-0.756,-27.988
15,769.63,-0.760,-27.280
15,774.9,-0.792,-26.388
15,780.18,-0.792,-25.696
15,785.45,-0.812,-25.232
15,790.72,-0.852,-24.448
15,796,-0.884,-24.036
15,801.27,-0.872,-23.528
15,806.54,-0.900,-23.064
15,811.81,-0.888,-22.952
15,817.09,-0.880,-22.628
15,822.36,-0.872,-22.488
15,827.63,-0.864,-22.256
15,832.9,-0.816,-22.132
15,838.18,-0.836,-21.784
15,843.45,-0.776,-21.424
15,848.72,-0.696,-21.208
15,854,-0.704,-21.176
15,859.27,-0.700,-20.884
15,864.54,-0.632,-20.640
15,869.81,-0.656,-20.436
15,875.09,-0.632,-20.276
15,880.36,-0.600,-20.280
15,885.63,-0.596,-20.104
15,890.9,-0.604,-19.940
15,896.18,-0.684,-19.936
15,901.45,-0.740,-19.844
15,906.72,-0.744,-19.624
15,912,-0.740,-19.496
15,917.27,-0.752,-19.256
15,922.54,-0.800,-19.244
15,927.81,-0.804,-19.140
15,933.09,-0.812,-19.088
15,938.36,-0.768,-18.972
15,943.63,-0.788,-18.888
15,948.9,-0.792,-18.800
15,954.18,-0.800,-18.660
15,959.45,-0.844,-18.424
15,964.72,-0.856,-18.200
15,970,-0.860,-18.016
15,975.27,-0.896,-17.984
15,980.54,-0.904,-17.804
15,985.81,-0.960,-17.860
15,991.09,-0.944,-18.064
15,996.36,-0.996,-18.620
